Sample name	Sample ID	Sample ontology ID	Facet ontology ID	Facet ontology term
salivary acinar cells, donor1	CNhs12810	FF:11771-123I7	CL:0000622	acinar cell
salivary acinar cells, donor2	CNhs12811	FF:11772-123I8	CL:0000622	acinar cell
salivary acinar cells, donor3	CNhs12812	FF:11773-123I9	CL:0000622	acinar cell
Sebocyte, donor1	CNhs10847	FF:11220-116B5	CL:0000622	acinar cell
Sebocyte, donor2	CNhs11951	FF:11301-117B5	CL:0000622	acinar cell
Amniotic Epithelial Cells, donor1	CNhs11341	FF:11533-120A3	CL:0002536	amniotic epithelial cell
Amniotic Epithelial Cells, donor3	CNhs12125	FF:11694-123A2	CL:0002536	amniotic epithelial cell
Astrocyte - cerebellum, donor1	CNhs11321	FF:11500-119F6	CL:0000127	astrocyte
Astrocyte - cerebellum, donor2	CNhs12081	FF:11580-120F5	CL:0000127	astrocyte
Astrocyte - cerebellum, donor3	CNhs12117	FF:11661-122F5	CL:0000127	astrocyte
Astrocyte - cerebral cortex, donor1	CNhs10864	FF:11235-116D2	CL:0000127	astrocyte
Astrocyte - cerebral cortex, donor2	CNhs11960	FF:11316-117D2	CL:0000127	astrocyte
Astrocyte - cerebral cortex, donor3	CNhs12005	FF:11392-118C6	CL:0000127	astrocyte
Basophils, donor3	CNhs12575	FF:12243-129H2	CL:0000767	basophil
Endothelial Cells - Aortic, donor0	CNhs10837	FF:11207-116A1	CL:0000071	blood vessel endothelial cell
Endothelial Cells - Aortic, donor1	CNhs12495	FF:11263-116G3	CL:0000071	blood vessel endothelial cell
Endothelial Cells - Aortic, donor2	CNhs11375	FF:11340-117F8	CL:0000071	blood vessel endothelial cell
Endothelial Cells - Aortic, donor3	CNhs12022	FF:11412-118E8	CL:0000071	blood vessel endothelial cell
Endothelial Cells - Artery, donor1	CNhs12496	FF:11264-116G4	CL:0000071	blood vessel endothelial cell
Endothelial Cells - Artery, donor2	CNhs11977	FF:11341-117F9	CL:0000071	blood vessel endothelial cell
Endothelial Cells - Artery, donor3	CNhs12023	FF:11413-118E9	CL:0000071	blood vessel endothelial cell
Endothelial Cells - Microvascular, donor1	CNhs11925	FF:11265-116G5	CL:0000071	blood vessel endothelial cell
Endothelial Cells - Microvascular, donor2	CNhs11376	FF:11342-117G1	CL:0000071	blood vessel endothelial cell
Endothelial Cells - Microvascular, donor3	CNhs12024	FF:11414-118F1	CL:0000071	blood vessel endothelial cell
Endothelial Cells - Thoracic, donor1	CNhs11926	FF:11266-116G6	CL:0000071	blood vessel endothelial cell
Endothelial Cells - Thoracic, donor2	CNhs11978	FF:11343-117G2	CL:0000071	blood vessel endothelial cell
Endothelial Cells - Umbilical vein, donor1	CNhs10872	FF:11243-116E1	CL:0000071	blood vessel endothelial cell
Endothelial Cells - Umbilical vein, donor2	CNhs11967	FF:11324-117E1	CL:0000071	blood vessel endothelial cell
Endothelial Cells - Umbilical vein, donor3	CNhs12010	FF:11400-118D5	CL:0000071	blood vessel endothelial cell
Endothelial Cells - Vein, donor1	CNhs12497	FF:11267-116G7	CL:0000071	blood vessel endothelial cell
Endothelial Cells - Vein, donor2	CNhs11377	FF:11344-117G3	CL:0000071	blood vessel endothelial cell
Endothelial Cells - Vein, donor3	CNhs12026	FF:11416-118F3	CL:0000071	blood vessel endothelial cell
Smooth Muscle Cells - Bronchial, donor1	CNhs11328	FF:11512-119G9	CL:0002598	bronchial smooth muscle cell
Fibroblast - Cardiac, donor2	CNhs11378	FF:11345-117G4	CL:0002548	cardiac fibroblast
Fibroblast - Cardiac, donor1	CNhs12498	FF:11268-116G8	CL:0002548	cardiac fibroblast
Fibroblast - Cardiac, donor3	CNhs12027	FF:11417-118F4	CL:0002548	cardiac fibroblast
Fibroblast - Cardiac, donor4	CNhs11909	FF:11452-119A3	CL:0002548	cardiac fibroblast
Fibroblast - Cardiac, donor5	CNhs12057	FF:11456-119A7	CL:0002548	cardiac fibroblast
Fibroblast - Cardiac, donor6	CNhs12061	FF:11460-119B2	CL:0002548	cardiac fibroblast
Cardiac Myocyte, donor1	CNhs12341	FF:11525-119I4	CL:0000746	cardiac myocyte
Cardiac Myocyte, donor2	CNhs12350	FF:11605-120I3	CL:0000746	cardiac myocyte
Cardiac Myocyte, donor3	CNhs12571	FF:11686-122I3	CL:0000746	cardiac myocyte
Chondrocyte - de diff, donor1	CNhs11923	FF:11261-116G1	CL:0000138	chondrocyte
Chondrocyte - de diff, donor2	CNhs11372	FF:11338-117F6	CL:0000138	chondrocyte
Chondrocyte - de diff, donor3	CNhs12020	FF:11410-118E6	CL:0000138	chondrocyte
Chondrocyte - re diff, donor2	CNhs11373	FF:11339-117F7	CL:0000138	chondrocyte
Chondrocyte - re diff, donor3	CNhs12021	FF:11411-118E7	CL:0000138	chondrocyte
Ciliary Epithelial Cells, donor2	CNhs11966	FF:11323-117D9	CL:0000067	ciliated epithelial cell
Ciliary Epithelial Cells, donor3	CNhs12009	FF:11399-118D4	CL:0000067	ciliated epithelial cell
Ciliary Epithelial Cells, donor1	CNhs10871	FF:11242-116D9	CL:0000067	ciliated epithelial cell
Corneal Epithelial Cells, donor1	CNhs11336	FF:11526-119I5	CL:0000575	corneal epithelial cell
Corneal Epithelial Cells, donor3	CNhs12123	FF:11687-122I4	CL:0000575	corneal epithelial cell
Dendritic Cells - monocyte immature derived, donor1, tech_rep1	CNhs10855	FF:11227-116C3	CL:0000451	dendritic cell
Dendritic Cells - monocyte immature derived, donor1, tech_rep2	CNhs11062	FF:11227-116C3	CL:0000451	dendritic cell
Dendritic Cells - monocyte immature derived, donor3	CNhs12000	FF:11384-118B7	CL:0000451	dendritic cell
Dendritic Cells - plasmacytoid, donor1	CNhs10857	FF:11228-116C4	CL:0000451	dendritic cell
immature langerhans cells, donor1	CNhs13537	FF:11904-125F5	CL:0000451	dendritic cell
immature langerhans cells, donor2	CNhs13480	FF:11905-125F6	CL:0000451	dendritic cell
migratory langerhans cells, donor1	CNhs13535	FF:11901-125F2	CL:0000451	dendritic cell
migratory langerhans cells, donor2	CNhs13536	FF:11902-125F3	CL:0000451	dendritic cell
migratory langerhans cells, donor3	CNhs13547	FF:11903-125F4	CL:0000451	dendritic cell
Hepatic Sinusoidal Endothelial Cells, donor1	CNhs12075	FF:11521-119H9	CL:1000398	endothelial cell of hepatic sinusoid
Hepatic Sinusoidal Endothelial Cells, donor2	CNhs12092	FF:11601-120H8	CL:1000398	endothelial cell of hepatic sinusoid
Endothelial Cells - Lymphatic, donor1	CNhs10865	FF:11236-116D3	CL:0002138	endothelial cell of lymphatic vessel
Endothelial Cells - Lymphatic, donor2	CNhs11901	FF:11317-117D3	CL:0002138	endothelial cell of lymphatic vessel
Endothelial Cells - Lymphatic, donor3	CNhs11906	FF:11393-118C7	CL:0002138	endothelial cell of lymphatic vessel
Smooth Muscle Cells - Colonic, donor1	CNhs10868	FF:11239-116D6	CL:0002504	enteric smooth muscle cell
Smooth Muscle Cells - Colonic, donor2	CNhs11963	FF:11320-117D6	CL:0002504	enteric smooth muscle cell
Smooth Muscle Cells - Colonic, donor3	CNhs12007	FF:11396-118D1	CL:0002504	enteric smooth muscle cell
Esophageal Epithelial Cells, donor1	CNhs11323	FF:11507-119G4	CL:0002252	epithelial cell of esophagus
Hair Follicle Outer Root Sheath Cells, donor2	CNhs12347	FF:11584-120F9	CL:0002252	epithelial cell of esophagus
Mallassez-derived cells, donor2	CNhs13550	FF:11929-125I3	CL:0002166	epithelial cell of Malassez
Mallassez-derived cells, donor3	CNhs13551	FF:11930-125I4	CL:0002166	epithelial cell of Malassez
Prostate Epithelial Cells (polarized), donor1	CNhs10882	FF:11253-116F2	CL:0002231	epithelial cell of prostate
Prostate Epithelial Cells, donor2	CNhs11972	FF:11331-117E8	CL:0002231	epithelial cell of prostate
Prostate Epithelial Cells, donor3	CNhs12014	FF:11404-118D9	CL:0002231	epithelial cell of prostate
Adipocyte - omental, donor1	CNhs11054	FF:11473-119C6	CL:0000136	fat cell
Adipocyte - omental, donor2	CNhs12067	FF:11474-119C7	CL:0000136	fat cell
Adipocyte - omental, donor3	CNhs12068	FF:11475-119C8	CL:0000136	fat cell
Adipocyte - perirenal, donor1	CNhs12069	FF:11476-119C9	CL:0000136	fat cell
Adipocyte - subcutaneous, donor1	CNhs12494	FF:11259-116F8	CL:0000136	fat cell
Adipocyte - subcutaneous, donor2	CNhs11371	FF:11336-117F4	CL:0000136	fat cell
Adipocyte - subcutaneous, donor3	CNhs12017	FF:11408-118E4	CL:0000136	fat cell
Adipocyte - breast, donor1	CNhs11051	FF:11376-118A8	CL:0000136	fat cell
Fibroblast - Choroid Plexus, donor1	CNhs11319	FF:11492-119E7	CL:0002549	fibroblast of choroid plexus
Fibroblast - Choroid Plexus, donor2	CNhs12344	FF:11572-120E6	CL:0002549	fibroblast of choroid plexus
Fibroblast - Gingival, donor1	CNhs10866	FF:11237-116D4	CL:0002552	fibroblast of gingiva
Fibroblast - Gingival, donor2	CNhs11961	FF:11318-117D4	CL:0002552	fibroblast of gingiva
Fibroblast - Gingival, donor3	CNhs12006	FF:11394-118C8	CL:0002552	fibroblast of gingiva
Fibroblast - Gingival, donor4 (GFH2)	CNhs10848	FF:11222-116B7	CL:0002552	fibroblast of gingiva
Fibroblast - Gingival, donor5 (GFH3)	CNhs11952	FF:11303-117B7	CL:0002552	fibroblast of gingiva
Fibroblast - Lymphatic, donor1	CNhs11322	FF:11506-119G3	CL:0002554	fibroblast of lymphatic vessel
Fibroblast - Lymphatic, donor3	CNhs12118	FF:11667-122G2	CL:0002554	fibroblast of lymphatic vessel
Fibroblast - Periodontal Ligament, donor1	CNhs10867	FF:11238-116D5	CL:0002556	fibroblast of periodontium
Fibroblast - Periodontal Ligament, donor2	CNhs11962	FF:11319-117D5	CL:0002556	fibroblast of periodontium
Fibroblast - Periodontal Ligament, donor3	CNhs11907	FF:11395-118C9	CL:0002556	fibroblast of periodontium
Fibroblast - Periodontal Ligament, donor4 (PL29)	CNhs12493	FF:11223-116B8	CL:0002556	fibroblast of periodontium
Fibroblast - Periodontal Ligament, donor5 (PL30)	CNhs11953	FF:11304-117B8	CL:0002556	fibroblast of periodontium
Fibroblast - Periodontal Ligament, donor6 (PLH3)	CNhs11996	FF:11380-118B3	CL:0002556	fibroblast of periodontium
Fibroblast - Pulmonary Artery, donor1	CNhs10878	FF:11250-116E8	CL:0002557	fibroblast of pulmonary artery
Fibroblast - Conjunctival, donor1	CNhs11339	FF:11531-120A1	CL:0002550	fibroblast of the conjuctiva
Fibroblast - Aortic Adventitial, donor1	CNhs10874	FF:11245-116E3	CL:1000306	fibroblast of tunica adventitia of artery
Fibroblast - Aortic Adventitial, donor3	CNhs12011	FF:11401-118D6	CL:1000306	fibroblast of tunica adventitia of artery
Gingival epithelial cells, donor1 (GEA11)	CNhs11061	FF:11221-116B6	CL:0002621	gingival epithelial cell
Gingival epithelial cells, donor2 (GEA14)	CNhs11896	FF:11302-117B6	CL:0002621	gingival epithelial cell
Gingival epithelial cells, donor3 (GEA15)	CNhs11903	FF:11379-118B2	CL:0002621	gingival epithelial cell
Hair Follicle Dermal Papilla Cells, donor1	CNhs12501	FF:11271-116H2	CL:0002559	hair follicle cell
Hair Follicle Dermal Papilla Cells, donor2	CNhs11979	FF:11348-117G7	CL:0002559	hair follicle cell
Hair Follicle Dermal Papilla Cells, donor3	CNhs12030	FF:11420-118F7	CL:0002559	hair follicle cell
Hair Follicle Outer Root Sheath Cells, donor1	CNhs12339	FF:11504-119G1	CL:0002559	hair follicle cell
